Venue,State
C.D.Cal.,California
C.D.Ill.,Illinois
D.Ariz.,Arizona
D.Colo.,Colorado
D.Conn.,Connecticut
D.D.C.,District of Columbia
D.Del.,Delaware
D.Haw.,Hawaii
D.Idaho,Idaho
D.Kan.,Kansas
D.Mass.,Massachusetts
D.Md.,Maryland
D.Me.,Maine
D.Minn.,Minnesota
D.Mont.,Montana
D.N.D.,North Dakota
D.N.H.,New Hampshire
D.N.J.,New Jersey
D.N.M.,New Mexico
D.Neb.,Nebraska
D.Nev.,Nevada
D.Or.,Oregon
D.P.R.,Puerto Rico
D.R.I.,Rhode Island
D.S.C.,South Carolina
D.S.D.,South Dakora
D.Utah,Utah
D.Vt.,Vermont
D.Wyo.,Wyoming
E.D.Ark.,Arkansas
E.D.Cal.,California
E.D.Ky.,Kentucky
E.D.La.,Louisiana
E.D.Mich.,Michigan
E.D.Mo.,Missouri
E.D.N.C.,North Carolina
E.D.N.Y.,New York
E.D.Okla.,Oklahoma
E.D.Pa.,Pennsylvania
E.D.Tenn.,Tennessee
E.D.Tex.,Texas
E.D.Va.,Virginia
E.D.Wash.,Washington
E.D.Wis.,Wisconsin
M.D.Ala.,Alabama
M.D.Fla.,Florida
M.D.Ga.,Georgia
M.D.La.,Louisiana
M.D.N.C.,North Carolina
M.D.Pa.,Pennsylvania
M.D.Tenn.,Tennessee
N.D.Ala.,Alabama
N.D.Cal.,California
N.D.Fla.,Florida
N.D.Ga.,Georgia
N.D.Ill.,Illinois
N.D.Ind.,Indiana
N.D.Iowa,Iowa
N.D.Miss.,Mississippi
N.D.N.Y.,New York
N.D.Ohio,Ohio
N.D.Okla.,Oklahoma
N.D.Tex.,Texas
N.D.W.Va.,West Virginia
S.D.Ala.,Alabama
S.D.Cal.,California
S.D.Fla.,Florida
S.D.Ga.,Georgia
S.D.Ill.,Illinois
S.D.Ind.,Indiana
S.D.Iowa,Iowa
S.D.Miss.,Mississippi
S.D.N.Y.,New York
S.D.Ohio,Ohio
S.D.Tex.,Texas
S.D.W.Va.,West Virginia
W.D.Ark.,Arkansas
W.D.Ky.,Kentucky
W.D.La.,Louisiana
W.D.Mich.,Michigan
W.D.Mo.,Missouri
W.D.N.C.,North Carolina
W.D.N.Y.,New York
W.D.Okla.,Oklahoma
W.D.Pa.,Pennsylvania
W.D.Tenn.,Tennessee
W.D.Tex.,Texas
W.D.Va.,Virginia
W.D.Wash.,Washington
W.D.Wis.,Wisconsin
